timestep,result
1608000,-602.2739597558975
1620000,-391.58375541865826
1632000,-197.33114202320576
1644000,-186.02581503242254
1656000,-426.8510038256645
1668000,-77.16752672940493
1680000,-20.53856758773327
1692000,-243.3771099820733
1704000,-384.32389014959335
1716000,-455.8387433886528
1728000,-125.97581887245178
1740000,-368.9476668536663
1752000,-271.506426230073
1764000,-243.5025366693735
1776000,-486.0313843488693
1788000,-333.68753036111593
1800000,-546.4332237839699
1812000,-24.29456840455532
1824000,-608.2865506410599
1836000,-28.044594652950764
1848000,-337.3997690975666
1860000,-497.55868780612946
1872000,-860.9321140050888
1884000,-331.6349204182625
1896000,-178.90968608111143
1908000,-240.58943740278482
1920000,-91.38327699899673
1932000,-290.1194199323654
1944000,-551.4515576958656
1956000,-231.26960329711437
1968000,-316.01812379062176
1980000,-272.87460777163506
1992000,-11.6385103687644
2004000,-385.10800924897194
2016000,-410.89771646261215
2028000,-498.1798508167267
2040000,-317.9964003562927
2052000,-641.9967241883278
2064000,-291.59026899933815
2076000,-352.858959376812
2088000,-15.0622513666749
2100000,-266.5397797077894
2112000,-673.313490986824
2124000,-397.3329666852951
2136000,-660.2551524043083
2148000,-538.3815199136734
2160000,-242.54978351294994
2172000,-445.4958599805832
2184000,-407.8893920183182
2196000,-617.3012585639954
2208000,-533.5564214587212
2220000,-517.7465699911118
2232000,-189.64632429927588
2244000,-30.342154897749424
2256000,-367.77346463501453
2268000,-550.7367664575577
2280000,-594.2861207723618
2292000,-461.31585681438446
2304000,-282.6506194472313
2316000,-566.2521553039551
2328000,-410.8030272126198
2340000,-312.49998049438
2352000,-298.58418937027454
2364000,-522.7726244330406
2376000,-130.1553058028221
2388000,-40.329149290919304
2400000,-265.29525427520275
2412000,-456.17016354203224
2424000,-302.54593285918236
2436000,-322.24242743849754
2448000,-390.14510601758957
2460000,-355.21594828367233
2472000,-619.4577598571777
2484000,-248.7919014468789
2496000,-628.1681158542633
2508000,2.1904666051268578
2520000,-359.1022008359432
2532000,-239.8839008063078
2544000,-384.5769350156188
2556000,-433.4324118643999
2568000,-470.25972667336464
2580000,-583.0089126825333
2592000,-36.039442360401154
2604000,-296.5676202625036
2616000,-515.3333476781845
2628000,-109.34916549921036
2640000,-245.9551594555378
2652000,-395.0692737698555
2664000,-170.78514558076859
2676000,-146.74110577255487
2688000,-217.1227681785822
2700000,-219.74127601087093
2712000,-55.87306257337332
2724000,-469.5743738412857
2736000,-429.3593120276928
2748000,-618.5314774513245
2760000,-222.6748065277934
2772000,-569.6594640314579
2784000,-465.10493095219135
2796000,-425.4212394654751
2808000,-309.79636173695326
2820000,-76.94198525696993
2832000,-286.1556218415499
2844000,-507.6370399296284
2856000,-290.75536777079105
2868000,-267.2614173218608
2880000,-211.17983519285917
2892000,-100.27628668397665
2904000,-470.9249538779259
2916000,-219.3818317502737
2928000,-304.5036439746618
2940000,-343.97311763465405
2952000,-76.04551230370998
2964000,-496.91695749759674
2976000,-734.4660642147064
2988000,-805.3466596603394
3000000,-493.5395612716675
3012000,-147.45164854824543
3024000,-490.13372552394867
3036000,-131.3513622507453
3048000,-455.5477995276451
3060000,-250.90563970804214
3072000,-637.0878392457962
3084000,-621.213524878025
3096000,-484.3701875805855
3108000,-477.02753734588623
3120000,-115.83636109530926
3132000,-267.3997913226485
3144000,-262.9132088571787
3156000,-449.0159061551094
3168000,-42.448275186121464
3180000,-368.5914504826069
3192000,-84.58222761750221
3204000,-420.20352441072464
3216000,-431.5397857129574
3228000,-144.04210966825485
3240000,-187.94572347030044
3252000,-324.28860281407833
3264000,-266.06964561343193
3276000,-414.2682076394558
3288000,-414.6754770576954
3300000,-187.14135138690472
3312000,-91.57517222315073
3324000,-303.5151921361685
3336000,-285.5449917986989
3348000,-5.165419064462185
3360000,-129.42544773966074
3372000,-185.3023186698556
3384000,-303.1907013654709
3396000,-666.5112298727036
3408000,-196.98354709893465
3420000,-118.00064218789339
3432000,-383.4742863625288
3444000,-137.386110894382
3456000,-169.1014787182212
3468000,-337.60288017988205
3480000,-264.7463294118643
3492000,-236.99709206819534
3504000,-43.84759437292814
3516000,-334.67791871726513
3528000,-209.0937013477087
3540000,-121.51876623183489
3552000,-194.94179843366146
3564000,-176.5963199287653
3576000,-490.39628368616104
3588000,-486.44030624628067
3600000,-244.22980278730392
3612000,-176.0051501840353
3624000,-255.8970845490694
3636000,-477.2548505663872
3648000,-116.2735141441226
3660000,-267.23029243946075
3672000,-265.0271795094013
3684000,-168.4491627663374
3696000,-222.39227238297462
3708000,14.739831980317831
3720000,-15.800084259361029
3732000,-201.88321228325367
3744000,-193.53525710850954
3756000,-525.1861007809639
3768000,-330.83473110198975
3780000,-642.2696992754936
3792000,-109.28027711808681
3804000,-40.874259643256664
3816000,-399.01039469242096
3828000,-207.89064801484346
3840000,-102.23458563536406
3852000,-521.411584019661
3864000,-176.78138455748558
3876000,-243.68430820852518
3888000,-18.287828281521797
3900000,-269.28403110802174
3912000,-664.3243799805641
3924000,-81.65270767360926
3936000,-92.08615233749151
3948000,-100.14543028175831
3960000,-164.6120901107788
3972000,-93.57268378138542
3984000,-58.264976281672716
3996000,-48.73348926752806
4008000,-569.9417753219604
4020000,-450.0506066977978
4032000,-287.98610408604145
4044000,-282.02909272909164
4056000,-174.69501235336065
4068000,-72.1508212685585
4080000,-260.9685695320368
4092000,-261.6666555777192
4104000,-283.04198168218136
4116000,-264.48723708093166
4128000,-312.5060620158911
4140000,-627.2534056305885
4152000,-288.7171530276537
4164000,-200.00320367142558
4176000,-56.83673166483641
4188000,-60.043124720454216
4200000,-321.26191958785057
4212000,-125.23448430746794
4224000,-169.0860302746296
4236000,-416.5634572505951
4248000,-79.90685192495584
4260000,-313.4345718920231
4272000,-230.81517230719328
4284000,-182.65670324862003
4296000,-191.92551255971193
4308000,-134.62854559719563
4320000,-443.2461913228035
4332000,-399.1814948320389
4344000,-350.93340316414833
4356000,-24.695488292723894
4368000,-410.61606233567
4380000,-484.06869983673096
4392000,-454.2706573009491
4404000,-194.62736182659864
4416000,-7.794933462515473
4428000,-186.97267723083496
4440000,-58.484672866761684
4452000,-255.46932151541114
4464000,-280.12733678519726
4476000,-16.153922766447067
4488000,25.541535649448633
4500000,-169.1524412110448
4512000,-209.9989462569356
4524000,-145.29910602420568
4536000,-34.677577532827854
4548000,-1.6124963462352753
4560000,-61.7941302023828
4572000,-290.1519433557987
4584000,-595.0899876356125
4596000,-100.97225759923458
4608000,-22.813299022614956
4620000,-421.3269734531641
4632000,-268.42833311110735
4644000,-194.31294674426317
4656000,-133.34767211973667
4668000,-122.97557707130909
4680000,-426.13018552958965
4692000,-47.033463321626186
4704000,-147.7347850650549
4716000,-104.72868173569441
4728000,-371.55129665881395
4740000,-74.90536670386791
4752000,-368.5022144317627
4764000,-143.20441836118698
4776000,-392.2551960386336
4788000,-10.354557499289513
4800000,-174.3532758653164
4812000,-197.61615666747093
4824000,-180.0974990427494
4836000,-103.80851285904646
4848000,-437.4829520583153
4860000,-137.89472886174917
4872000,-206.03612767904997
4884000,-186.58964927494526
4896000,-306.78210058808327
4908000,-671.3590416908264
4920000,3.281758636236191
4932000,-244.78236221522093
4944000,-98.31261625140905
